,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-01-02,0.000271722,0.000302087,0.000410754,0.000280662,0.000428922,0.037660972,0.00037849,27.8485,27.8675,26.8375,27.3175
2015-01-05,0.000389723,0.000354777,0.000357601,0.000367553,0.000229867,0.030182156,0.000187774,27.0725,27.16,26.3525,26.5675
2015-01-06,0.000400819,0.000371405,0.000474523,0.000485154,0.000540384,0.026316067,0.000476651,26.635,26.855,26.1575,26.556225
2015-01-07,0.00031079,0.000267696,0.000219758,0.000197688,0.000230143,0.013914644,0.000117656,26.785,27.0475,26.67375,26.9375
2015-01-08,0.000618023,0.000269749,0.000268532,0.000351997,0.000466789,0.03119947,0.000155609,27.310625,28.0375,27.17625,27.965
2015-01-09,0.000276135,0.000315537,0.00028727,0.000234932,0.000464862,0.027210128,0.000285467,28.1775,28.3125,27.5525,28
2015-01-12,0.000282548,0.000252561,0.000255396,0.000225432,0.000246084,0.034507985,0.000297154,28.155,28.155,27.2,27.3175
2015-01-13,0.000597722,0.00072058,0.000776164,0.00068122,0.000886172,0.035094486,0.000276325,27.86,28.2,27.2275,27.54
2015-01-14,0.000374294,0.000331054,0.000300352,0.00021645,0.000197254,0.018082684,0.000221098,27.25,27.6225,27.1275,27.425
2015-01-15,0.000339533,0.000275119,0.000278289,0.000271075,0.000354074,0.030834161,0.000253663,27.49,27.5,26.665,26.7075
2015-01-16,0.000232275,0.000230278,0.000232544,0.000211632,0.000206826,0.022369597,0.000251176,26.7575,26.89495,26.3,26.4925
2015-01-20,0.000406552,0.000372795,0.000395293,0.000376746,0.000301353,0.021182509,0.000152194,26.95,27.195,26.625,27.195
2015-01-21,0.000232061,0.000225962,0.000241283,0.000227086,0.000134464,0.025442488,0.000229017,27.2125,27.765,27.0675,27.377475
2015-01-22,0.000226618,0.000251467,0.000165303,0.000152677,0.000131446,0.024656823,0.000124968,27.57,28.115,27.43025,28.097525
2015-01-23,0.000152242,0.0001465,0.000137433,0.000131139,0.000221772,0.019709445,0.000118619,28.050025,28.4375,27.8825,28.25
2015-01-26,0.000160013,0.000107016,0.000111784,0.000118275,8.36E-05,0.013757763,8.67E-05,28.425,28.59065,28.2,28.2775
2015-01-27,0.000347475,0.00039553,0.000411205,0.000466024,0.000579284,0.031426628,0.000338668,28.1125,28.12,27.250025,27.287475
2015-01-28,0.00611675,0.00590268,0.004974635,0.005047542,0.005668098,0.024159489,0.000469031,29.4,29.535,28.83,28.88
2015-01-29,0.00031354,0.000259138,0.000245373,0.00022708,0.000226621,0.03460482,0.000215637,29.08125,29.7975,28.784,29.725
2015-01-30,0.0002519,0.000271314,0.000231243,0.000198298,0.000237066,0.026600682,0.000262699,29.595,30,29.2125,29.3025
2015-02-02,0.000419965,0.000436798,0.000260757,0.000322166,0.000339691,0.021982652,0.000290122,29.5125,29.665,29.02,29.655
2015-02-03,0.000211239,0.000172443,8.46E-05,8.13E-05,7.90E-05,0.012484398,7.13E-05,29.5575,29.772,29.402625,29.65
2015-02-04,0.000247428,0.000125664,0.000135782,9.23E-05,0.00013671,0.018349907,0.000140944,29.625,30.125,29.57725,29.88525
2015-02-05,9.90E-05,6.94E-05,4.96E-05,5.70E-05,5.47E-05,0.008184445,4.70E-05,30.0175,30.0575,29.8125,29.965
2015-02-06,0.00013912,0.000106499,8.11E-05,8.76E-05,8.52E-05,0.015081978,8.08E-05,30.035,30.0625,29.6125,29.7275
2015-02-09,0.000141234,9.06E-05,5.78E-05,7.79E-05,4.94E-05,0.011159238,5.52E-05,29.64,29.9625,29.63,29.9275
2015-02-10,0.000144636,0.000114573,0.000129434,0.000153059,0.000113589,0.016342391,5.14E-05,30.0625,30.5375,30.0425,30.504975
2015-02-11,0.000102229,0.000102404,0.000140119,0.000180715,0.00018431,0.019562502,9.10E-05,30.6875,31.23,30.625,31.215
2015-02-12,0.000206743,0.000280593,0.000288165,0.000386947,0.000306833,0.015096118,0.000139442,31.52,31.87,31.3925,31.607475
2015-02-13,0.000136297,0.000103196,7.62E-05,8.06E-05,6.75E-05,0.013124793,8.94E-05,31.815,31.8275,31.4125,31.765
2015-02-17,0.000131696,0.000147343,0.000147121,0.000101885,0.000121013,0.015309014,0.000112816,31.86125,32.22,31.7305,31.9525
2015-02-18,7.40E-05,6.64E-05,5.73E-05,5.11E-05,4.97E-05,0.010302932,5.57E-05,31.875,32.195,31.865,32.1775
2015-02-19,5.00E-05,3.89E-05,3.33E-05,2.65E-05,1.68E-05,0.005439864,3.09E-05,32.12,32.2575,32.0825,32.112525
2015-02-20,6.10E-05,4.56E-05,3.62E-05,2.75E-05,1.39E-05,0.011260068,3.10E-05,32.165,32.375,32.0125,32.37
2015-02-23,7.61E-05,7.08E-05,6.96E-05,7.64E-05,0.000103048,0.025356367,7.65E-05,32.54,33.25,32.4175,33.24375
2015-02-24,0.000177587,0.000170418,0.000165875,0.000244366,0.000183869,0.018431547,0.00019264,33.185,33.4,32.790025,33.045
2015-02-25,0.000330573,0.000284489,0.000357762,0.000344257,0.00031333,0.026487536,0.000191565,32.885,32.9,32.04,32.195
2015-02-26,0.000343532,0.000257878,0.000311695,0.000257918,0.000329812,0.033092179,0.000308811,32.19,32.7175,31.652525,32.604975
2015-02-27,0.000189619,0.000168326,0.000168315,0.000167014,0.000260822,0.018005973,0.000176404,32.525,32.6425,32.06,32.115
2015-03-02,0.000172269,0.000199775,0.000158873,0.000130655,0.000131736,0.015314709,0.0001071,32.28,32.57,32.075,32.255
2015-03-03,0.000147884,0.000130271,0.000104212,6.86E-05,5.73E-05,0.011102168,9.01E-05,32.245,32.38,32.0225,32.345
2015-03-04,0.000140547,8.41E-05,8.26E-05,7.33E-05,9.02E-05,0.00961695,5.51E-05,32.2825,32.39,32.08,32.142475
2015-03-05,0.000151522,0.000101933,0.000150027,0.000120494,0.000126077,0.023497211,0.000130183,32.165,32.1875,31.44,31.599975
2015-03-06,0.000361421,0.000344831,0.000304172,0.00026567,0.000345711,0.024333243,0.000180876,32.1175,32.3425,31.565,31.649
2015-03-09,0.000466647,0.000395171,0.000437322,0.000378325,0.000522306,0.035427654,0.000405126,31.9975,32.3925,31.265,31.7675
2015-03-10,0.00030259,0.00020142,0.000186097,0.000232409,0.00021728,0.027171904,0.000185699,31.6025,31.8025,30.95,31.1325
2015-03-11,0.001049178,0.000214855,0.000253581,0.000282986,0.000232328,0.021469614,0.00023671,31.165,31.19,30.5275,30.56495
2015-03-12,0.0002091,0.000190569,0.000159554,0.000153842,0.000124698,0.026529768,0.000141763,30.5775,31.225,30.4075,31.11
2015-03-13,0.00025091,0.000172498,0.000179403,0.000180342,0.000175171,0.02274475,0.000179578,31.1,31.35,30.645,30.88
2015-03-16,0.000170989,0.000101418,7.86E-05,7.25E-05,5.73E-05,0.016786771,7.50E-05,30.97,31.2375,30.7175,31.22
2015-03-17,0.000144185,0.000212533,0.000148801,0.000187664,0.000202836,0.013123755,7.26E-05,31.465,31.83,31.415,31.7675
2015-03-18,0.000171316,0.000159535,0.000138132,0.000155087,0.00020271,0.021837834,0.000152732,31.773,32.29,31.5925,32.11875
2015-03-19,0.0001177,9.36E-05,8.97E-05,8.52E-05,5.40E-05,0.01441677,7.59E-05,32.18,32.3125,31.85,31.8725
2015-03-20,0.000148861,0.000130893,0.000163092,0.000219204,0.000237884,0.01879799,0.000128846,32.06875,32.085,31.4875,31.4875
2015-03-23,0.000229121,0.000105426,8.23E-05,8.35E-05,0.000121699,0.010457303,4.84E-05,31.765,31.9625,31.63,31.81
2015-03-24,0.000225916,7.99E-05,5.85E-05,6.69E-05,6.91E-05,0.011559052,5.57E-05,31.7975,32.01,31.642125,31.672475
2015-03-25,0.000146727,0.000121982,0.000127697,0.000129872,0.000165733,0.027337647,0.000123006,31.66875,31.705,30.85,30.8525
2015-03-26,0.000796829,0.000198271,0.000206033,0.000254886,0.000122821,0.02054271,0.000190801,30.705,31.2175,30.58275,31.0639
2015-03-27,0.000118492,0.000114334,0.000122007,9.50E-05,6.34E-05,0.01429692,9.55E-05,31.14125,31.1725,30.73,30.8025
2015-03-30,0.000150503,0.000176905,0.000172079,0.000262208,0.000229125,0.018766772,6.59E-05,31.0125,31.6,31.0125,31.5825
2015-03-31,0.000153303,9.07E-05,0.000104295,9.62E-05,0.000125601,0.016943814,9.00E-05,31.5225,31.62,31.08875,31.115
2015-04-01,0.000292329,0.000216122,0.000143226,0.000128139,0.000111935,0.016195012,0.000174,31.19875,31.28,30.7775,31.055
2015-04-02,0.000133023,8.01E-05,9.61E-05,4.92E-05,4.21E-05,0.010971081,4.79E-05,31.25125,31.39,31.0475,31.3275
2015-04-06,0.000157701,9.68E-05,6.72E-05,7.72E-05,7.54E-05,0.025177044,8.67E-05,31.1225,31.875,31.0825,31.835
2015-04-07,9.21E-05,8.52E-05,6.89E-05,5.58E-05,5.38E-05,0.016921429,4.71E-05,31.9075,32.032475,31.495,31.502
2015-04-08,0.00015361,0.000152683,0.000159095,0.000152374,9.93E-05,0.011377773,0.000147493,31.46125,31.6,31.2425,31.4
2015-04-09,0.000124681,0.000106032,0.000118829,8.04E-05,5.09E-05,0.015204681,7.23E-05,31.4675,31.6425,31.165025,31.634325
2015-04-10,0.000153816,9.06E-05,9.72E-05,0.000107981,0.000127758,0.015447687,7.49E-05,31.5025,31.8025,31.315,31.77525
2015-04-13,0.000129273,0.000172605,0.000175937,9.17E-05,0.000112615,0.015204055,6.38E-05,32.0925,32.1425,31.6575,31.71875
2015-04-14,9.39E-05,6.41E-05,5.59E-05,5.83E-05,4.76E-05,0.010744234,6.03E-05,31.76125,31.817525,31.4775,31.589975
2015-04-15,7.64E-05,5.73E-05,3.64E-05,3.04E-05,2.27E-05,0.00876956,3.23E-05,31.6275,31.7825,31.505,31.70095
2015-04-16,9.45E-05,5.82E-05,4.42E-05,2.91E-05,3.10E-05,0.007819636,3.81E-05,31.5975,31.775,31.5275,31.55
2015-04-17,0.000197663,0.000146615,6.43E-05,6.14E-05,7.82E-05,0.013408022,8.76E-05,31.3625,31.535,31.115,31.1875
2015-04-20,0.000257195,0.000223462,0.000101832,0.000109028,0.000126079,0.023294511,7.57E-05,31.3925,32.03,31.2925,31.899975
