,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-01-02,0.000278956,0.000244001,0.000162781,0.000137098,9.06E-05,0.019209883,0.000161061,111.71,113,110.85,112.6265
2015-01-05,0.000392833,0.000516961,0.000559894,0.000682311,0.0005974,0.033627887,0.000213669,110.96,111.12,107.4454,108.14
2015-01-06,0.000348768,0.000303316,0.000210432,0.000265955,0.000254084,0.023533795,0.000239915,107.79,109.02,106.4843,108.02
2015-01-07,0.000420129,0.000376134,0.00026323,0.000306847,0.000297354,0.020393369,0.000148695,109.25,109.725,107.51,107.946
2015-01-08,0.000327858,0.000228193,0.000194533,0.000247344,0.000258248,0.016679022,0.000129895,109.19,110.4367,108.61,110.303
2015-01-09,0.000212296,0.000216214,0.000193438,0.000208501,0.000286281,0.023316215,0.000197893,109.98,110.212,107.672,108.2872
2015-01-12,0.000329089,0.000335623,0.000387862,0.000567784,0.00055793,0.018026965,0.000251386,107.28,107.47,105.55,106.07
2015-01-13,0.000343728,0.00035899,0.000496059,0.000357686,0.000326374,0.042406164,0.000329901,106.92,107.66,103.19,104.22
2015-01-14,0.000518577,0.000533695,0.000435752,0.00044374,0.000492167,0.024982389,0.000383228,103.17,104.406,101.83,103.9
2015-01-15,0.00050486,0.000414694,0.000262963,0.000258587,0.000346506,0.022700934,0.000342355,104.41,104.94,102.5846,102.68
2015-01-16,0.000444862,0.000217227,0.000346287,0.000258073,0.000138836,0.025627607,0.000178538,102.82,105.13,102.47,105.1
2015-01-20,0.000298541,0.000230754,0.000244194,0.000298286,0.000254159,0.026324189,0.000189366,105,106.579,103.81,106.43
2015-01-21,0.000254183,0.000144441,0.00013612,9.78E-05,0.000104352,0.017892566,0.000117627,106.95,108.27,106.35,108.1158
2015-01-22,0.000291291,0.000241192,0.000226186,0.000219967,0.000218477,0.019712822,0.000224855,108.83,109.12,106.99,108.96
2015-01-23,0.00022137,0.000206453,0.000187972,0.000271694,0.000334628,0.018749389,0.000225493,108.29,108.75,106.73,106.81
2015-01-26,0.000179676,0.000190121,0.00015556,0.000198699,0.000142629,0.028094957,0.000182462,106.98,109.3598,106.3301,108.8444
2015-01-27,0.000240479,0.000226656,0.000136279,0.000121014,8.19E-05,0.01105974,0.000124236,108.13,108.83,107.633,108.2702
2015-01-28,0.000256171,0.000322105,0.000320144,0.0004588,0.000572278,0.044813245,0.00036414,107.92,108.16,103.42,103.72
2015-01-29,0.000368546,0.000354263,0.000368083,0.000272007,0.000243462,0.028795422,0.000321128,104.24,104.63,101.6601,103
2015-01-30,0.000962449,0.001062109,0.001284158,0.001186988,0.001171111,0.043730382,0.000895493,101.6,103.3,98.88,102.44
2015-02-02,0.000663393,0.000722513,0.000586893,0.000595179,0.000720738,0.029944362,0.000396962,103.93,106.1,102.97,106.06
2015-02-03,0.000619414,0.000589013,0.00076077,0.000468503,0.000468092,0.022408872,0.000234737,107.7,110.11,107.67,109.545
2015-02-04,0.000556843,0.000615944,0.000567909,0.00044818,0.000333258,0.017427704,0.00038137,108.31,109.28,107.392,108.32
2015-02-05,0.000429807,0.000366436,0.000220395,0.000209595,0.00012848,0.013993009,0.00017195,109.57,110.0999,108.57,109.2799
2015-02-06,0.000322758,0.000257077,0.000258315,0.000162315,0.000133256,0.012296917,0.000203838,110.06,110.46,109.11,109.6345
2015-02-09,0.000240172,0.000138933,0.000117694,0.000160399,0.000156929,0.016731116,0.00010339,109.84,111.5,109.65,110.443
2015-02-10,0.000238241,0.000206234,0.000221686,0.000254807,0.000369318,0.023228286,0.000227941,110.52,110.62,108.0801,110.16
2015-02-11,0.000374953,0.000422315,0.000344781,0.00035264,0.000416439,0.017394927,0.000199961,109.01,110.18,108.28,109.96
2015-02-12,0.000207544,0.000237078,0.000168924,0.000133739,0.000118844,0.011217129,9.54E-05,110.28,111.0588,109.82,110.848
2015-02-13,0.000224985,0.000119951,0.000155527,0.000156692,0.000143349,0.015540189,0.000105826,111.34,112.84,111.1,112.77
2015-02-17,0.000195732,0.00020349,0.000134309,0.000179804,0.000153713,0.012474545,8.11E-05,112.25,112.93,111.53,112.4
2015-02-18,0.00026616,0.00031954,0.000259117,0.000215698,0.000115539,0.011530621,9.02E-05,111.26,111.65,110.37,110.44
2015-02-19,0.000667022,0.000740424,0.00094152,0.00086933,0.000689997,0.021586475,0.000195872,108.2,109.5801,107.24,108.3801
2015-02-20,0.000195589,0.000183925,0.000117002,9.60E-05,7.34E-05,0.012663662,9.74E-05,108.485,108.87,107.5,108.58
2015-02-23,0.000211223,0.000256804,0.00016128,0.000182511,0.000148127,0.010746889,0.000115598,107.79,108.5099,107.35,107.82
2015-02-24,0.00016996,9.54E-05,7.41E-05,5.18E-05,7.98E-05,0.008442,7.12E-05,107.97,108.25,107.34,107.96
2015-02-25,0.000132612,7.06E-05,6.25E-05,4.24E-05,2.81E-05,0.009240021,4.19E-05,108.2,108.78,107.7795,108.58
2015-02-26,0.000140753,0.000142076,0.00020137,0.000169481,0.000167449,0.012121361,7.00E-05,107.66,107.9,106.6,107.09
2015-02-27,0.000120383,8.58E-05,4.51E-05,3.74E-05,4.22E-05,0.01036182,4.33E-05,107.52,107.68,106.57,106.73
2015-03-02,0.000145814,0.000164384,0.000202943,0.000264884,0.000225998,0.013443353,0.000127631,106.18,106.34,104.92,105.85
