,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-01-02,0.000119611,9.58E-05,9.14E-05,7.95E-05,4.80E-05,0.013269867,8.58E-05,105.05,105.521,104.13,104.53
2015-01-05,0.000150407,9.91E-05,7.73E-05,5.53E-05,6.84E-05,0.010171856,6.85E-05,104.48,104.74,103.68,103.84
2015-01-06,0.000234861,0.000133496,0.0001322,0.000158927,0.000148802,0.019575932,0.00011681,104.34,104.975,102.94,103.26
2015-01-07,0.000180556,0.000147776,0.000181151,0.000165863,0.000218204,0.019107877,8.58E-05,103.94,105.82,103.8172,105.5599
2015-01-08,0.000115946,0.000128308,8.43E-05,7.00E-05,5.59E-05,0.006973266,6.00E-05,106.06,106.49,105.75,106.41
2015-01-09,0.000135003,8.05E-05,8.27E-05,6.03E-05,8.12E-05,0.016759375,8.17E-05,106.5,106.5,104.73,104.98
2015-01-12,0.000139823,8.96E-05,9.02E-05,7.10E-05,9.05E-05,0.014183676,7.00E-05,105.29,105.79,104.3001,104.5766
2015-01-13,0.000200769,0.000186484,0.000245732,0.000322379,0.000366968,0.020227188,0.000140975,105.44,106.3724,104.2424,104.74
2015-01-14,0.000252486,0.000176418,0.000149456,0.000152427,0.00019437,0.008760663,8.01E-05,103.9075,104.4208,103.51,104
2015-01-15,0.000411784,0.000184202,0.000140763,0.000189745,0.000236552,0.018460239,0.000141808,103.41,103.8495,101.95,102.51
2015-01-16,0.000305625,0.000209476,0.000237717,0.000184262,0.000189302,0.025361925,0.000212257,102.06,104.62,102,103.95
2015-01-20,0.000851779,0.000914696,0.000673306,0.000573448,0.000564706,0.017696077,0.000193226,101.525,102.05,100.26,101.19
2015-01-21,0.000185001,0.000111933,7.60E-05,4.32E-05,4.37E-05,0.016790518,5.21E-05,100.56,102.1,100.4,101.905
2015-01-22,0.000213868,0.000207699,0.000142981,0.000124422,0.000115154,0.021911378,0.000147659,102.39,103.8201,101.57,103.8
2015-01-23,0.000199318,0.000226037,0.000218246,0.000210352,0.000208971,0.009764832,6.54E-05,102.79,102.94,101.9397,102.18
2015-01-26,7.96E-05,8.13E-05,7.60E-05,9.09E-05,0.000103363,0.012068748,6.59E-05,101.78,102.449,101.22,102.175
2015-01-27,0.000139439,0.000137501,0.000181775,0.000191702,0.00018955,0.018066274,0.0001315,101.84,102.77,100.93,102.129
2015-01-28,0.000173419,0.000134007,0.000126137,0.000113486,0.00012092,0.014527247,0.000107704,102.48,102.9244,101.44,101.49
2015-01-29,0.000196015,8.98E-05,8.90E-05,5.88E-05,6.24E-05,0.017624638,6.72E-05,101.64,102.46,100.67,102.3801
2015-01-30,0.000287886,0.000182059,0.000145008,0.00013574,0.000177311,0.018903032,0.000122192,101.4,102,100.09,100.15
2015-02-02,0.000248721,0.000179452,0.000130065,0.000142946,0.000101895,0.014584216,0.000129438,100.5,100.84,99.38,100.82
2015-02-03,0.000137544,0.000115297,0.000130396,0.000176319,0.000210876,0.014087651,7.56E-05,101.4,102.56,101.1253,102.45
2015-02-04,0.000112043,0.00010007,9.91E-05,6.88E-05,0.000113508,0.013763489,8.21E-05,102.11,102.42,101.02,101.33
2015-02-05,7.33E-05,6.27E-05,6.05E-05,6.77E-05,7.22E-05,0.010980502,4.37E-05,101.57,102.56,101.44,102.43
2015-02-06,0.000104216,7.99E-05,8.15E-05,8.18E-05,0.000110596,0.015938944,6.70E-05,102.11,102.45,100.83,101.07
