,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-01-02,0.00013881,9.09E-05,8.38E-05,5.22E-05,5.11E-05,0.014249664,6.89E-05,42.23,42.3999,41.8,42.14
2015-01-05,0.00048616,0.000392858,0.00046345,0.000406214,0.000309102,0.020696882,0.000252765,42.69,42.96,42.08,42.15
2015-01-06,0.00023001,0.00016512,0.000176158,0.000250191,0.000278302,0.016436153,0.000159092,42.39,42.94,42.24,42.42
2015-01-07,0.000283314,0.000173421,0.00010972,0.00010305,0.000129957,0.012370329,0.000102295,42.8,43.11,42.58,42.975
2015-01-08,0.000174833,8.07E-05,8.11E-05,0.000117822,0.000175606,0.010957218,6.53E-05,43.18,43.57,43.0952,43.49
2015-01-09,0.00011465,0.000101728,9.40E-05,0.000100182,9.19E-05,0.014332192,0.000100575,43.47,43.57,42.95,43.02
2015-01-12,0.000140557,8.86E-05,6.64E-05,9.80E-05,7.28E-05,0.017162292,7.44E-05,43.07,43.195,42.46,42.63
2015-01-13,0.000512428,0.000165552,0.000186816,0.00019542,0.000230107,0.01832344,0.000113429,42.77,43.235,42.45,42.64
2015-01-14,0.000355948,0.000289837,0.000182924,0.000204389,0.000162316,0.012281685,0.000123967,42.13,42.6,42.08,42.56
2015-01-15,0.000227548,0.000160768,0.000105257,8.94E-05,9.76E-05,0.015996577,0.000139343,42.83,42.85,42.17,42.395
2015-01-16,0.000116565,8.73E-05,6.15E-05,7.54E-05,6.37E-05,0.008251845,5.23E-05,42.36,42.59,42.24,42.53
2015-01-20,0.000207759,0.000235359,0.000310142,0.00046605,0.00043094,0.016640868,0.000178446,42.7,43.325,42.61,43.17
2015-01-21,0.000190866,0.000153452,0.00014249,7.22E-05,4.23E-05,0.01554736,0.00010303,42.89,43.43,42.76,43.36
2015-01-22,0.000119811,0.000107783,7.75E-05,9.30E-05,8.33E-05,0.017389661,9.88E-05,43.37,43.83,43.0744,43.79
2015-01-23,0.000163577,0.0002418,9.73E-05,9.31E-05,0.000108508,0.013114188,0.000100639,43.6,43.75,43.18,43.319
2015-01-26,9.10E-05,7.64E-05,9.28E-05,6.66E-05,6.44E-05,0.009295907,5.84E-05,43.14,43.23,42.83,42.999
2015-01-27,0.00023341,0.000193298,0.000196301,0.000165467,0.000179642,0.01151119,6.15E-05,42.54,42.638,42.15,42.43
2015-01-28,0.000165876,0.000131322,0.000103568,0.000100396,9.80E-05,0.021249939,8.62E-05,42.6,42.7999,41.9,41.94
2015-01-29,0.000223836,0.000157523,0.000156303,0.000124677,0.000136571,0.01626441,9.04E-05,41.85,42.15,41.47,42.0883
2015-01-30,0.000209149,0.000170367,0.00010734,0.000111912,0.000133847,0.01975016,9.78E-05,41.83,41.93,41.11,41.18
2015-02-02,0.000194112,0.000163466,0.000135276,0.000143712,0.000148251,0.017688596,0.000156108,41.23,41.6299,40.9,41.585
2015-02-03,0.000122734,8.29E-05,7.75E-05,8.02E-05,9.00E-05,0.011460886,6.95E-05,41.75,41.85,41.3731,41.63
2015-02-04,0.000138066,0.000155042,0.000196067,0.000142965,8.80E-05,0.011226986,7.82E-05,41.75,42.0899,41.62,41.679
2015-02-05,0.000201206,5.74E-05,4.19E-05,4.16E-05,4.22E-05,0.007192282,4.92E-05,41.8,41.8197,41.52,41.78
2015-02-06,0.000123138,0.000132956,0.000128373,0.00014501,6.35E-05,0.010592299,9.58E-05,41.63,41.76,41.32,41.46
2015-02-09,9.95E-05,6.94E-05,6.16E-05,3.68E-05,5.48E-05,0.009940681,4.27E-05,41.38,41.45,41.04,41.24
2015-02-10,0.001890658,0.00111346,0.001128228,0.001356146,0.00140411,0.040599047,0.000215399,42.915,42.98,41.27,42.405
2015-02-11,0.000204522,0.000168118,0.000215684,0.000279285,0.000378304,0.018767625,0.000143433,42.115,42.49,41.7,42.35
2015-02-12,7.04E-05,6.50E-05,7.20E-05,6.36E-05,5.60E-05,0.013926815,6.22E-05,42.4,42.66,42.07,42.18
2015-02-13,9.74E-05,6.99E-05,8.24E-05,5.36E-05,5.80E-05,0.007868863,3.70E-05,42.02,42.0899,41.76,41.99
2015-02-17,0.000100929,7.25E-05,6.86E-05,8.82E-05,7.96E-05,0.005747142,4.38E-05,41.81,41.88,41.64,41.791
2015-02-18,9.27E-05,4.98E-05,3.84E-05,5.58E-05,4.77E-05,0.007926065,3.58E-05,41.75,41.8,41.47,41.72
2015-02-19,0.000138136,6.11E-05,6.25E-05,6.73E-05,5.04E-05,0.016951582,5.58E-05,41.65,42.24,41.53,42.12
2015-02-20,0.000108771,7.20E-05,5.28E-05,6.84E-05,6.05E-05,0.009560302,3.90E-05,42.04,42.04,41.64,41.9685
2015-02-23,0.000143872,9.44E-05,6.82E-05,6.00E-05,8.83E-05,0.011269908,5.49E-05,41.69,42.1625,41.69,41.86
2015-02-24,8.52E-05,5.57E-05,4.80E-05,4.27E-05,5.61E-05,0.013078298,4.95E-05,41.84,42.33,41.78,42.15
2015-02-25,6.50E-05,3.71E-05,3.32E-05,3.29E-05,3.83E-05,0.011907738,3.88E-05,42.17,42.24,41.74,42.05
2015-02-26,8.59E-05,5.17E-05,3.68E-05,2.62E-05,2.56E-05,0.013724778,3.35E-05,42.03,42.55,41.97,42.465
2015-02-27,0.000109918,8.85E-05,0.000107335,0.000141495,0.000128899,0.027516684,0.000113399,42.5,43.66,42.475,43.3034
2015-03-02,6.43E-05,3.97E-05,2.04E-05,2.39E-05,1.33E-05,0.005093783,1.42E-05,43.1201,43.3,43.08,43.1801
2015-03-03,6.77E-05,3.93E-05,3.14E-05,2.95E-05,4.67E-05,0.007441895,3.23E-05,43.11,43.16,42.84,42.955
2015-03-04,9.41E-05,4.17E-05,4.56E-05,4.85E-05,5.19E-05,0.010539973,3.72E-05,42.92,42.92,42.47,42.491
