,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-01-02,5.30E-05,6.60E-05,5.98E-05,5.92E-05,6.40E-05,0.013112469,6.10E-05,206.38,206.88,204.185,205.4
2015-01-05,9.54E-05,0.000108023,8.86E-05,0.000101305,0.000108972,0.014887389,5.68E-05,204.18,204.37,201.35,201.81
2015-01-06,0.000109731,9.35E-05,0.000119639,0.000137793,0.000144754,0.019249801,0.000120978,202.1,202.72,198.855,199.83
2015-01-07,0.000152944,0.000123204,0.000117869,0.00011723,0.000134762,0.009118002,4.96E-05,201.42,202.72,200.88,202.34
2015-01-08,9.02E-05,0.000103325,0.000109735,0.000119771,0.000150087,0.010581593,2.48E-05,204,206.16,203.99,205.93
2015-01-09,6.86E-05,6.99E-05,6.41E-05,5.73E-05,9.37E-05,0.01412477,7.51E-05,206.39,206.41,203.515,204.18
2015-01-12,6.93E-05,7.60E-05,6.95E-05,7.46E-05,7.07E-05,0.013086874,8.76E-05,204.41,204.59,201.93,202.62
2015-01-13,0.000148913,0.000180678,0.000257363,0.000256669,0.000301285,0.024434713,0.000124697,204.12,205.48,200.52,202.07
2015-01-14,0.000254339,0.00023792,0.00019501,0.000210565,0.000183436,0.012660614,9.53E-05,199.65,201.1,198.57,200.91
2015-01-15,0.000138986,0.000152349,0.000107766,8.57E-05,0.000108947,0.015515789,0.000120386,201.64,202,198.89,199.01
2015-01-16,7.73E-05,7.77E-05,6.94E-05,6.68E-05,8.73E-05,0.016335253,8.18E-05,198.77,201.82,198.55,201.55
2015-01-20,8.62E-05,9.48E-05,0.000100877,7.58E-05,5.94E-05,0.012658711,7.62E-05,202.4,202.72,200.17,202.04
2015-01-21,8.64E-05,9.99E-05,0.000118112,7.06E-05,3.83E-05,0.013395816,9.10E-05,201.5,203.66,200.95,203.09
2015-01-22,9.23E-05,0.000116183,6.48E-05,7.46E-05,5.48E-05,0.019237481,7.53E-05,203.99,206.26,202.33,206.09
2015-01-23,4.86E-05,3.72E-05,2.66E-05,2.89E-05,3.78E-05,0.006230246,2.95E-05,205.79,206.09,204.81,204.95
2015-01-26,3.37E-05,3.53E-05,3.54E-05,3.89E-05,3.34E-05,0.008353533,2.74E-05,204.71,205.56,203.85,205.46
2015-01-27,0.000205045,0.000207258,0.000192956,0.00016727,0.000199975,0.011678749,5.32E-05,202.96,204.12,201.75,202.74
2015-01-28,0.000149384,0.000146858,0.000103682,9.93E-05,9.54E-05,0.021673288,0.000101806,204.18,204.29,199.91,200.07
2015-01-29,0.000101561,0.000106639,9.37E-05,7.62E-05,7.70E-05,0.018005923,8.86E-05,200.36,202.3,198.69,201.99
2015-01-30,0.000145379,0.000190103,0.000112729,0.000106088,0.000111062,0.01515105,0.000120485,200.57,202.17,199.13,199.44
2015-02-02,0.00013325,0.000177081,0.000122414,0.000129488,0.000160813,0.020856491,0.000148036,200.06,202.03,197.86,201.86
2015-02-03,9.02E-05,0.000108263,0.000108879,0.000102052,0.000141523,0.011291234,4.84E-05,203,204.85,202.55,204.8
2015-02-04,8.74E-05,7.21E-05,7.22E-05,5.49E-05,6.99E-05,0.00904895,6.72E-05,203.93,205.37,203.52,204.07
2015-02-05,5.17E-05,4.41E-05,4.73E-05,4.92E-05,4.15E-05,0.007395188,2.35E-05,204.86,206.3,204.78,206.18
2015-02-06,5.76E-05,5.74E-05,4.50E-05,4.09E-05,4.82E-05,0.011209085,4.16E-05,206.56,207.24,204.93,205.51
2015-02-09,5.42E-05,4.37E-05,3.96E-05,4.00E-05,3.21E-05,0.007321034,3.08E-05,204.77,205.64,204.14,204.59
2015-02-10,7.05E-05,6.29E-05,5.33E-05,5.70E-05,4.07E-05,0.011118508,2.65E-05,205.88,207.11,204.82,206.8
2015-02-11,3.71E-05,3.48E-05,2.85E-05,2.92E-05,2.70E-05,0.007791179,3.21E-05,206.61,207.45,205.84,206.94
2015-02-12,3.70E-05,4.51E-05,3.28E-05,3.06E-05,3.13E-05,0.00628797,1.35E-05,207.89,208.99,207.68,208.9
2015-02-13,1.83E-05,1.61E-05,1.17E-05,1.37E-05,1.42E-05,0.005112412,1.14E-05,209.06,209.83,208.76,209.8
2015-02-17,2.11E-05,1.76E-05,1.67E-05,2.11E-05,2.32E-05,0.005817574,1.20E-05,209.4,210.32,209.1,210.16
2015-02-18,2.63E-05,2.75E-05,2.26E-05,1.79E-05,2.15E-05,0.004147109,1.51E-05,209.65,210.22,209.35,210.15
2015-02-19,2.89E-05,2.46E-05,2.34E-05,2.02E-05,1.43E-05,0.005623615,9.88E-06,209.41,210.42,209.24,210.01
2015-02-20,4.10E-05,4.09E-05,2.40E-05,3.01E-05,3.42E-05,0.012379342,2.86E-05,209.48,211.33,208.73,211.27
2015-02-23,1.52E-05,1.56E-05,1.41E-05,1.51E-05,1.48E-05,0.003462262,8.19E-06,210.95,211.21,210.48,211.21
2015-02-24,1.58E-05,1.50E-05,1.18E-05,9.80E-06,8.95E-06,0.006054604,1.42E-05,211.13,212.05,210.77,211.84
