,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-01-02,0.000666494,0.000456162,0.000553554,0.000566811,0.000677283,0.045779672,0.000613246,44.574,44.65,42.65202,43.838
2015-01-05,0.001379415,0.000876609,0.000853429,0.001235637,0.00122442,0.044040365,0.000627294,42.9,43.298,41.43252,41.99
2015-01-06,0.000890868,0.000702635,0.000817735,0.000897069,0.001039014,0.047663348,0.000857734,42.0085,42.84,40.846,42.2576
2015-01-07,0.000969181,0.000519284,0.000554796,0.000572843,0.000462112,0.023508326,0.00030281,42.674,42.954,41.956,42.164
2015-01-08,0.000711675,0.000329825,0.000253087,0.000212414,0.000325286,0.017885382,0.000282217,42.5975,42.75998,42.002,42.1276
2015-01-09,0.000723357,0.000441084,0.000532845,0.000600642,0.000649721,0.024148661,0.000396447,41.784,41.996,40.994,41.3134
2015-01-12,0.000937081,0.00079945,0.000796316,0.000678055,0.000573258,0.036514613,0.000457836,40.6132,41.332,39.85,40.442
2015-01-13,0.000897143,0.000616607,0.000703302,0.000620874,0.000896007,0.033202541,0.00053319,40.662,41.522,40.166,40.8672
2015-01-14,0.009226805,0.006192961,0.00663454,0.006087028,0.006522031,0.053617618,0.000900352,37.2,39.038,37,38.524
2015-01-15,0.00108356,0.00091001,0.000677173,0.000606379,0.000556472,0.029814263,0.00064867,38.8365,39.15,38,38.378
2015-01-16,0.000654987,0.000406922,0.000243089,0.00023911,0.00028843,0.025356844,0.000285916,38.1456,38.89998,37.926,38.602
2015-01-20,0.000629825,0.000463335,0.00053783,0.00043971,0.000464137,0.037154027,0.000523192,38.636,38.824,37.408,38.386
2015-01-21,0.001049298,0.000703283,0.000579331,0.000593006,0.00048742,0.047095406,0.000602885,37.908,39.736,37.908,39.31198
2015-01-22,0.000740708,0.000561908,0.000412728,0.000330591,0.000304672,0.040461274,0.000426376,39.4,40.652,39.04,40.3136
2015-01-23,0.000798047,0.000533618,0.000443891,0.000305202,0.00019231,0.024876905,0.000433902,39.9968,40.7,39.7,40.2564
2015-01-26,0.000632996,0.000413268,0.000411193,0.00043471,0.000455243,0.037446841,0.000400324,40.254,41.73598,40.202,41.31798
2015-01-27,0.000769577,0.0004281,0.000404252,0.000421149,0.000411635,0.023095715,0.000442203,40.884,41.61,40.66,41.1994
2015-01-28,0.00072845,0.000543714,0.000396503,0.000377164,0.000392487,0.039230404,0.000460908,41.275,41.278,39.69,39.845
2015-01-29,0.002325909,0.000691382,0.000393311,0.000393589,0.000403931,0.047165193,0.000564502,40.214,41.198,39.3,41.0316
2015-01-30,0.000759853,0.000553606,0.000417104,0.00020908,0.00047865,0.021388845,0.000410707,40.792,41.49,40.612,40.70308
